bujur	lintang	suhu
95	-11	301.6
95.5	-11	301.8
96	-11	302
96.5	-11	302.2
97	-11	302.3
97.5	-11	302.4
98	-11	302.4
98.5	-11	302.4
99	-11	302.2
99.5	-11	302.1
100	-11	302
100.5	-11	301.9
101	-11	301.6
101.5	-11	301.6
102	-11	301.7
102.5	-11	301.5
103	-11	301.5
103.5	-11	301.4
104	-11	301.8
104.5	-11	301.7
105	-11	301.7
105.5	-11	301.6
106	-11	301.6
106.5	-11	301.8
107	-11	301.8
107.5	-11	301.8
108	-11	301.6
108.5	-11	301.7
109	-11	301.6
109.5	-11	301.5
110	-11	301.5
110.5	-11	301.6
111	-11	301.5
111.5	-11	301.4
112	-11	301.4
112.5	-11	301.4
113	-11	301.2
113.5	-11	301.1
114	-11	301.1
114.5	-11	300.9
115	-11	301.2
115.5	-11	301.1
116	-11	301.1
116.5	-11	301.3
117	-11	301.3
117.5	-11	301.5
118	-11	301.5
118.5	-11	301.6
119	-11	301.6
119.5	-11	301.8
120	-11	301.8
120.5	-11	301.7
121	-11	301.6
121.5	-11	301.9
122	-11	301.8
122.5	-11	302
123	-11	302.6
123.5	-11	302.1
124	-11	301.6
124.5	-11	301.5
125	-11	301.6
125.5	-11	301.4
126	-11	301.7
126.5	-11	301.7
127	-11	301.9
127.5	-11	302.1
128	-11	302.1
128.5	-11	302
129	-11	302
129.5	-11	302
130	-11	302.2
130.5	-11	302.6
131	-11	302.2
131.5	-11	302.1
132	-11	302.3
132.5	-11	302.6
133	-11	302.4
133.5	-11	301
134	-11	300.4
134.5	-11	300.1
135	-11	299.8
135.5	-11	299.8
136	-11	300
136.5	-11	300.7
137	-11	300.7
137.5	-11	299.8
138	-11	299.8
138.5	-11	300.1
139	-11	300.2
139.5	-11	300
140	-11	299.8
140.5	-11	299.7
141	-11	299.5
141.5	-11	299.5
142	-11	300.3
95	-10.5	301.6
95.5	-10.5	301.8
96	-10.5	302.2
96.5	-10.5	302.2
97	-10.5	302.2
97.5	-10.5	302.6
98	-10.5	302.4
98.5	-10.5	302.4
99	-10.5	302.3
99.5	-10.5	302.3
100	-10.5	302.1
100.5	-10.5	301.9
101	-10.5	301.7
101.5	-10.5	301.8
102	-10.5	301.6
102.5	-10.5	301.7
103	-10.5	301.7
103.5	-10.5	301.7
104	-10.5	301.8
104.5	-10.5	301.9
105	-10.5	301.7
